Code|Level_2|Fonte
B01D  46/522|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/523|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/525|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/526|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/527|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/528|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/54|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/543|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/546|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  47/00|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  47/02|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  47/021|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  47/022|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  47/024|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  47/025|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  47/027|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  47/028|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  47/04|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  47/05|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  47/06|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  47/063|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  47/066|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  47/08|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  47/085|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  47/10|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  47/12|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  47/14|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  47/16|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  47/18|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  49/00|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  49/003|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  49/006|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  49/02|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  50/00|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  50/002|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  50/004|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  50/006|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  50/008|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  51/00|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  51/02|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  51/04|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  51/06|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  51/08|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  51/10|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  53/34|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/343|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/346|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/38|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
